ID Column,Related Keywords from topic
UNSDG.Economic.M.4,"economic value generated, Economic value distributed, operating costs, employee wages benefits, payments providers capital, payments to shareholders, payments to government, community investments, turnover"
UNSDG.Economic.M.5,"Taxes paid government, excise duties, levies paid governments, property taxes, royalties, license fees, value added taxes, VAT, Green investments, green capital expenditure, Community Investment, donations, charities, social programs, local procurement, civil society partnerships, local suppliers, Infrastructure investments, environmental management investments, Renewable energy investments, ­Climate change mitigation investments, Expenditures environmental protection, purchase land environmental protection, purchase environmental protection products, emissions abatement, capture, storage, sequestration"
UNSDG.Economic.M.6,"R&D, spending scientific research, spending technology research, research undertaken , expenditures development activities, spending improve production"
UNSDG.Environmental.M.7,"electricity sold, heating sold, cooling steam sold, steam sold, non-renewable fuel consumed, renewable fuel consumed, electricity purchased consumption, heating purchased consumption, cooling purchased consumption, steam purchased consumption"
UNSDG.Environmental.M.7.1,"energy consumption, net value added, Self-generated electricity not consumed, Self-generated heating not consumed, Self-generated cooling not consumed, Self-generated steam not consumed, electricity sold, heating sold, cooling sold, steam sold, non-renewable fuel consumed, renewable fuel consumed"
UNSDG.Environmental.M.7.2,"solar energy, biomass, hydropower, geothermal energy, ocean energy, infinite renewable, cyclical renewable"
UNSDG.Environmental.M.8,"water withdrawn, water received, third party , net value added, water use, net value added, change water use, per net value"
UNSDG.Environmental.M.8.1,"surface WATER, ground water, rainwater, waste water, water-stressed, water scarce areas, fresh surface water, groundwater, seawater, brackish water, produced water, process water, sources water withdrawal, volume water withdrawn"
UNSDG.Environmental.M.8.2,"describe water use policy, objectives water use, targets water use, water use public wastewater system"
UNSDG.Environmental.M.8.3,"volume of water recycled, volume of water reused, recycled, water use, net value added, change of water use"
UNSDG.Environmental.M.9,"Greenhouse gas emissions scope 1, Greenhouse gas emissions scope 2, co2 emission, scope 1, scope 2, Energy indirect, Scope 2 GHG emissions, Direct, Scope 1 GHG emissions, Reduction GHG emissions, stationary combustion GHG, mobile combustion GHG, GHG emissions, indirect GHG emissions, purchased energy, process, fugitive, purchased electricity, electricity generation, heat generation"
UNSDG.Environmental.M.10,"Nitrogen oxides , NOX, Sulphur oxides, SOX, air emissions"
UNSDG.Environmental.M.10.1,"production ODS, purchases of ODS , stocks of ODS, Trichlorofluoromethane, CFC-11, production of ozone depleting substances, purchases of ozone depleting substances, stocks of ozone depleting substances, Montreal Protocol, chlorine, bromine"
UNSDG.Environmental.M.11,"mineral, non-mineral, hazardous waste treated, waste treatment technology, closed-loop recycling, reuse re-manufacturing processes, hazardous characteristics, H1 Explosive, H3 Flammable liquids, H4.1 Flammable solids, H4.2 Substances wastes spontaneous combustion, H4.3 Substances wastes water flammable gases, H5.1 Oxidizing, H5.2 Organic Peroxides, H6.1 Poisonous Acute, H6.2 Infectious substances, H8 Corrosives, H10 Liberation toxic gases with air water, H11 Toxic Delayed chronic, H12 Ecotoxic, H13 after disposal leachate"
UNSDG.Environmental.M.12,"waste treatment, Reuse, Re-manufacturing, open-reuse, closed-loop reuse, Recycling, Composting, Recovery, energy recovery, Incineration, mass burn, Deep well injection, Landfill, On-site storage"
UNSDG.Social.M.13,"safe secure work environment, health care, employee health insurance, self-insurance, health care facilities, accident incident, occupational accidents, occupational injuries, occupational safety, safe work environment, health safety policy, injuries, fatalities, Expenditures health and safety, access quality health care, access medicines, vaccines, Frequency incident occupational injuries, occupational diseases, lost days, absenteeism, work related fatalities, high risk disease fatalities, Employee Health and Safety Management"
UNSDG.Social.M.14,"employment type and gender, number female employees, number male employees, number full time, number part time"
UNSDG.Social.M.15,"human capital, investment employee training, hours training, career development, performance career development reviews, programs upgrading employee skills, transition assistance programs, Participation rate youth formal non-formal education, Participation rate adults formal non-formal education, Expenditure employee training, Average hours training per year, Average hours training per employee"
UNSDG.Social.M.16,"employee age, Employee Recruitment Engagement, hourly earnings by age, hourly earnings persons disabilities, wages and benefits age, workers who are not employees, wages benefits permanent, wages and benefits temporary employment, wages benefits full-time, wages benefits part-time, local minimum wage"
UNSDG.Social.M.16.1,"Non discrimination, Incidents of discrimination, corrective action taken for discrimination"
UNSDG.Social.M.16.2,"Diversity governance bodies, gender equality, women in managerial positions, women remuneration, women salaries, Ratio of basic salary and remuneration of women to men, wages and benefits gender, entry level wage by gender, Diversity employees, hourly earnings of female, earnings of female, hourly earnings of male employees, earnings of male employees"
UNSDG.Social.M.17,"fair, freedom of association collective bargaining, unfair labor practices, Percentage employees covered collective agreements, freedom of association, right collective bargaining, compliance labor rights by sex, compliance labor rights by migrant status"
